Cedula,Departamento,Sector_Productivo,Producto,Edad,Experiencia_Anios,Hectareas,Ingresos_Mensuales_COP,Monto_Prestamo_COP,Plazo_Meses,Garantia_Respaldada,Subsidio_Gobierno,Tecnologias_Usadas,Tiene_Energia_Solar,Tiene_Riego,Produccion_Anual_Ton,Exporta_Productos,Tasa_Interes_EA,Calificacion_Credito,Credito_Aprobado
75682867,Guaviare,Piscicultura,Tilapia,20,41.0,9.68,2526540.0,67663700.0,12,1.0,0,4,1,0,192.53,1,8.61,5,1
66755036,Córdoba,Agricultura,Maíz,71,28.0,32.76,8696014.0,197965138.0,12,0.0,1,3,0,1,2.65,1,7.24,3,1
66882282,Norte de Santander,Porcícola,Lechón,43,0.0,35.77,5443082.0,35749291.0,36,1.0,0,0,0,1,61.77,0,14.39,4,0
31081788,Atlántico,Ganadería,Leche,35,3.0,34.56,7083377.0,105686265.0,12,0.0,0,0,1,1,122.27,1,13.82,4,1
23315092,Cauca,Agricultura,Plátano,26,31.0,16.31,9986643.0,159604684.0,24,1.0,1,1,0,1,156.78,0,6.0,3,1
45788921,Vaupés,Piscicultura,Camarón,55,32.0,12.98,7816586.0,89365284.0,48,1.0,0,3,0,0,163.47,1,10.29,4,1
36735830,Tolima,Agricultura,Plátano,40,25.0,47.82,9607959.0,96276392.0,24,1.0,0,2,0,0,10.17,0,9.33,3,1
41632483,Vichada,Agricultura,Café,38,16.0,46.2,8527640.0,197339380.0,48,0.0,0,3,1,1,142.12,0,12.46,3,1
86737383,Guaviare,Porcícola,Lechón,74,38.0,23.14,11305108.0,87935089.0,24,1.0,1,1,1,1,144.33,0,6.0,4,1
98358551,Guainía,Agricultura,Hortalizas,18,22.0,42.39,10824300.0,122794060.0,48,1.0,0,1,0,0,43.6,0,10.75,4,1
98409749,La Guajira,Energía_Solar,Iluminación_Solar,38,31.0,22.89,8385496.0,15635234.0,12,1.0,1,1,0,1,23.44,1,6.0,5,1
14981505,Caldas,Agricultura,Plátano,44,14.0,21.51,10440423.0,169230966.0,36,1.0,1,0,1,0,150.19,1,6.0,4,1
23953367,Atlántico,Agricultura,Arroz,59,12.0,8.26,13204546.0,131392770.0,36,1.0,1,2,1,1,50.65,0,6.0,3,1
