Cedula,Departamento,Sector_Productivo,Producto,Edad,Experiencia_Anios,Hectareas,Ingresos_Mensuales_COP,Monto_Prestamo_COP,Plazo_Meses,Garantia_Respaldada,Subsidio_Gobierno,Tecnologias_Usadas,Tiene_Energia_Solar,Tiene_Riego,Produccion_Anual_Ton,Exporta_Productos,Tasa_Interes_EA,Calificacion_Credito,Credito_Aprobado
75682867.0,Guaviare,Piscicultura,Tilapia,20,41,9.68,2526540.0,67663700.0,12,1,0,4,1,0,192.53,1,8.61,5,1
66755036.0,Córdoba,Agricultura,Maíz,71,28,32.76,8696014.0,197965138.0,12,0,1,3,0,1,2.65,1,7.24,3,1
66882282.0,Norte de Santander,Porcícola,Lechón,43,0,35.77,5443082.0,35749291.0,36,1,0,0,0,1,61.77,0,14.39,4,0
31081788.0,Atlántico,Ganadería,Leche,35,3,34.56,7083377.0,105686265.0,12,0,0,0,1,1,122.27,1,13.82,4,1
23315092.0,Cauca,Agricultura,Plátano,26,31,16.31,9986643.0,159604684.0,24,1,1,1,0,1,156.78,0,6.0,3,1
45788921.0,Vaupés,Piscicultura,Camarón,55,32,12.98,7816586.0,89365284.0,48,1,0,3,0,0,163.47,1,10.29,4,1
36735830.0,Tolima,Agricultura,Plátano,40,25,47.82,9607959.0,96276392.0,24,1,0,2,0,0,10.17,0,9.33,3,1
41632483.0,Vichada,Agricultura,Café,38,16,46.2,8527640.0,197339380.0,48,0,0,3,1,1,142.12,0,12.46,3,1
86737383.0,Guaviare,Porcícola,Lechón,74,38,23.14,11305108.0,87935089.0,24,1,1,1,1,1,144.33,0,6.0,4,1
98358551.0,Guainía,Agricultura,Hortalizas,18,22,42.39,10824300.0,122794060.0,48,1,0,1,0,0,43.6,0,10.75,4,1
98409749.0,La Guajira,Energía_Solar,Iluminación_Solar,38,31,22.89,8385496.0,15635234.0,12,1,1,1,0,1,23.44,1,6.0,5,1
14981505.0,Caldas,Agricultura,Plátano,44,14,21.51,10440423.0,169230966.0,36,1,1,0,1,0,150.19,1,6.0,4,1
23953367.0,Atlántico,Agricultura,Arroz,59,12,8.26,13204546.0,131392770.0,36,1,1,2,1,1,50.65,0,6.0,3,1
95652971.0,Norte de Santander,Porcícola,Cerdo_Encaste,23,1,21.61,6938252.0,83783920.0,60,1,1,1,0,1,1.33,1,7.45,4,1
14521373.0,Caldas,Ganadería,Leche,72,18,27.1,6661236.0,8153060.0,48,1,1,4,0,1,45.49,0,6.39,4,1
13344769.0,Nariño,Agricultura,Hortalizas,61,23,1.61,11652288.0,120375420.0,60,0,0,0,1,1,7.18,0,14.53,4,1
SIN_CEDULA,La Guajira,Ganadería,Carne_Ovina,53,44,22.48,9072264.0,7468277.0,60,1,0,2,0,0,50.59,0,10.09,4,1
SIN_CEDULA,Boyacá,Agricultura,Yuca,45,23,39.18,1808296.0,5234705.0,48,1,1,4,0,0,67.67,0,8.14,5,1
52860080.0,Nariño,Energía_Solar,Bomba_Solar,62,10,34.16,13467991.0,125139220.0,36,0,1,2,1,0,55.01,0,7.55,2,0
87751354.0,Huila,Ganadería,Carne_Caprina,34,21,31.94,1237120.0,41858328.0,48,0,0,2,0,1,184.07,0,16.8,3,1
72250665.0,Norte de Santander,Avicultura,Codorniz,57,14,45.52,11427228.0,42418072.0,12,0,0,4,0,1,47.27,0,12.17,4,1
76209791.0,Arauca,Energía_Solar,Iluminación_Solar,69,9,1.39,11574877.0,132387955.0,60,0,1,3,1,1,94.04,0,7.5,4,1
56792155.0,Cauca,Ganadería,Carne_Ovina,20,40,28.07,14334177.0,15470952.0,60,1,1,2,0,0,191.53,1,6.0,4,1
31498555.0,Meta,Tecnología_Agrícola,Drones_Agrícolas,29,26,39.47,1568709.0,66114084.0,48,1,1,3,0,0,175.96,0,6.64,3,1
70221198.0,Risaralda,Ganadería,Leche,56,8,27.3,9275367.0,34139221.0,60,1,1,2,0,1,62.54,0,6.0,3,1
89757501.0,La Guajira,Tecnología_Agrícola,Sensores_Humedad,29,27,16.53,6875336.0,118134392.0,36,1,1,4,1,1,65.97,0,6.0,2,0
26861870.0,Putumayo,Agricultura,Plátano,19,0,7.24,5494988.0,134044205.0,60,1,1,2,1,0,119.07,0,8.2,4,0
62286002.0,Huila,Porcícola,Lechón,73,16,44.43,2082524.0,145621491.0,48,1,1,1,0,1,183.65,1,8.36,2,0
42049003.0,Magdalena,Ganadería,Carne_Bovina,63,30,23.8,8789688.0,54770087.0,36,1,1,1,1,0,2.99,0,6.0,4,1
71136438.0,Tolima,Ganadería,Carne_Bovina,39,43,43.97,7602378.0,22403702.0,36,1,1,2,0,1,79.23,1,6.0,5,1
72194931.0,Arauca,Piscicultura,Pez_Libri,40,9,29.5,2284673.0,20343313.0,60,1,0,4,0,1,170.11,0,13.5,3,1
75285250.0,Huila,Porcícola,Cerdo_Encaste,47,36,33.87,9497351.0,88099552.0,48,1,0,4,1,0,82.68,1,9.1,2,0
79537252.0,Arauca,Agricultura,Hortalizas,22,28,40.31,11278934.0,189439660.0,60,0,1,0,0,0,144.29,1,10.3,1,0
69248434.0,Norte de Santander,Agricultura,Yuca,26,17,33.13,11695352.0,47457162.0,12,1,1,4,1,0,138.69,0,6.0,3,1
71306900.0,Nariño,Porcícola,Cerdo_Mestizo,38,37,20.2,13656299.0,55064612.0,12,1,0,3,1,0,41.89,0,6.0,3,1
65831368.0,Tolima,Porcícola,Lechón,28,38,25.92,6614485.0,24673316.0,36,1,0,2,0,1,90.47,0,12.08,3,1
20959014.0,Vaupés,Tecnología_Agrícola,Drones_Agrícolas,22,5,40.25,14333633.0,123086203.0,60,1,1,1,1,0,113.67,1,6.0,4,1
